label,text
drama,"In 1927, Captain Lilly (Harry Beresford) is a steamboat captain who pilots a boat on the Mississippi River, with the help of his son, States (Lew Ayres). Along their route is a shantytown made up of houseboats, the residents of which often fight with the steamboat crowd.
After a shooting match between States and shanty-boater Chicken Sam (John Carradine), Sam reveals to States his true heritage: Captain Lilly killed States' real father - a shanty-boater - and adopted States as his own son. States confirms this fact with court records, and after leaving Captain Lilly, becomes a boarder on Aunt Vergie's (Elizabeth Patterson) houseboat. Vergie's daughter Towhead (Anita Louise), falls in love with States and, understanding that he's homesick, sneaks onto Captain Lilly's steamboat and takes his dog, Shoo-Fly. States tries to get the dog to return to Captain Lilly, but Shoo-Fly insists on staying by his side. Later when Captain Lilly approaches States to ask him to come back, he sees Shoo-Fly and - believing that States kidnapped the dog - denounces him.
States then builds his own shanty-boat with a breakwater protecting it, only to have Captain Lilly drive his own steamboat into it, thinking it is creating a bar in the river. Unknown to Captain Lilly, Towhead, was in States' boat at the time, and she is injured during the crash.
States also plans to marry Towhead, but Captain Lilly has him institutionalized in a reform school when he hears of his plans. States is later freed from the institution by some of his friends and then borrows a gun with the intention of going after Captain Lilly and killing him.
In the meantime, the Mississippi River has begun to flood dangerously, and people from the nearby town have been trying to burn down the shantytown, prompting the shanty-boaters to release their boats from their moorings. States dives into the river, swimming for Aunt Vergie's boat. Captain Lilly follows with his steamboat, scanning the river with a searchlight. States finds Vergie and Towhead on their shantyboat and stays with them, boarding up the windows.
Captain Lilly catches sight of Aunt Vergie's shantyboat headed for a break in a levee and, realizing that it will likely be destroyed, saves the boat just before it reaches the break. Lilly continues to help other shanty-boaters, his former rivals, and by morning, States is back in Captain Lilly's pilot house with Towhead by his side."
drama,"Zack (Haas) is a young, divorced father who starts to develop romantic feelings towards his friend Rebecca (Zima), whom he refers to as ""Crazy Eyes"". He spends a lot of time at a bar run by his best friend Dan Drake (Busey) and hanging out with Autumn (Raymonde). As he pursues a sexual relationship with Rebecca, Zack grows increasingly aware of the importance of his son's role in his life amidst the failing health of his own father."
comedy,"Sally Bates (Isabel Jewell) leaves Texas, headed for Hollywood, in the 30’s. She is tempted to take a job as a mechanic, with Pop (Arthur Stone), on the highway; but, presses on in to town.
She’s going to sleep in her old “Tin Lizzie”. But, after she saves Bill’s neck (Buster Crabbe), with her old six-shooter, during a botched hold-up. Bill (Buster Crabbe), takes her home, to live with his Mom, (Maidel Turner); and gives her a job at his drive-in restaurant.
Sally’s friendly and easy going manner is very popular, with the customers; but, Bill gets jealous when Jack (Regis Toomey), the reckless, younger brother of his well-to-do girlfriend Clara (Sally Blane), starts paying Sally attention, following her around in his roadster.
Sally is so humiliated, when Clara rips off the dress Jack gave her, at a nightclub, she ends up at his hotel room, married to Jack, after an ill-conceived night of drinking.
Bill arrives, in the morning, to confront the drunken Jack, and take Sally home; but, when Jack is so drunk, he trips, and smashes his head, killing himself; Bill is under investigation for murder of the wealthy socialite."
comedy,"The film continues directly where The Adventures of Barry McKenzie ended with Barry McKenzie (Barry Crocker) and his aunt Dame Edna returning home to Australia from England.
During the flight two henchmen of Count Plasma (Donald Pleasence) (a Dracula-type Minister of Culture from the People's Republic of Transylvania) mistake Dame Edna for the Queen of England and kidnap her during their brief stopover in Paris, believing that she will draw tourists to their country.
It is then up to Barry, his identical twin brother the Reverend Kevin McKenzie, his Parisian expatriate Aussie friend ""Col the Frog"" (Dick Bentley) and his other expatriate mates in France and England to head a team of Australian agents to be parachuted into Transylvania and rescue Edna.
Barry and Edna return home to Australia and are greeted by Gough Whitlam and his wife. Whitlam makes Edna a dame."
comedy,"Gilbert ""The Great"" Wooley (Jerry Lewis) is a down-on-his-luck magician who has been invited to entertain GIs in Japan. However, even before his flight from Los Angeles has taken off the ground, he unwittingly -- and with some participation of his pet, friend and co-star in the act, Harry the rabbit -- incurs the wrath of the show's headliner, actress Lola Livingston (Marie McDonald), with a series of unfortunate accidents. Upon their arrival, as he tries to apologize to Lola, he causes her more embarrassment by tearing up her dress, knocking her down the gangway, and rolling her up in the red carpet to cover up her lack of proper attire.
An orphan, Mitsuo Watanabe (Robert Hirano), who attends the reception in the company of his aunt Kimi Sikita (Nobu McCarthy), an interpreter for the United Service Organizations, or USO, witnesses the spectacle and laughs for the first time since his parents died. When Kimi brings the boy to Gilbert to thank him, he and the boy become close. This, however, irritates the aunt's boyfriend Ichiyama (Ryuzo Demura), a Japanese baseball player; and his subsequent chase of Wooley, which culminates with Ichiyama's fall into a bathhouse pool that floods the street outside, almost motivates the furious USO commander Major Ridgley (Barton MacLane) to revoke Wooley's entertainment-service status. Wooley's USO liaison Sergeant Pearson (Suzanne Pleshette), who has fallen for him, is able to reverse that decision -- though it is under the condition that Wooley perform for the American troops at the Korean frontlines. However, she becomes jealous of Gilbert's growing relationship with Kimi.
In time, Gilbert, Mitsuo, and Mitsuo's family become inseparable, but Wooley's failure as a troop entertainer makes Ridgley remand him back to the United States. Not wanting to disappoint Mitsuo by letting him find out that he has been a total flop, Gilbert tries to sneak away when it is time for him to return. Mitsuo follows him, and Gilbert is forced to pretend that he no longer cares for the boy, which makes him cry. However, Mitsuo still follows him to America by stowing away on the plane. Once in America, they are reunited, but Gilbert is accused of kidnapping Mitsuo, who is then returned to Japan. Wooley follows in the same way that Mitsuo did, but is ""smarter"" by hiding in a specially marked trunk. However, when the airliner lands, he cannot get out of the trunk, and the Sikitas have to rescue him from it. Wooley decides to stay and become a successful performer of magic in Japan.
The film ends with Harry the rabbit giving birth to a litter in mid-performance, as Gilbert hollers in shock and disbelief, ""Hey, you're not a Harry; you're a Harriet!"""
drama,"Jamie McGregor (Barry Evans) is a virginal sixth-former in a swinging sixties new town, delivering groceries for the local supermarket. However he is more interested in matters sexual and sets out to lose his virginity by attempting to seduce the local girls – Linda, Paula, Caroline, Audrey, and his dream girl Mary."
drama,"When Old Man Barnard (Anthony Kenyon), a millionaire, is reported drowned at sea his gold digging sons Paul (Karl Lanchbury) and Martin (Chris Chittell) come looking for their inheritance. Arriving at the Barnard family estate they renew an old enemy in Adam (Michael Watkins), their father's butler. He tells them the Barnard mansion has to remain locked and bolted until the will is read, begrudgingly all three men and their girlfriends will have to stay in the neighbouring farmhouse over the weekend. Unbeknown to him Adam is Old Man Barnard's illegitimate son, a fact Paul and Martin are determined to keep from him. Secretly they fear the whole inheritance will go to Adam. With their privileged lifestyles hanging by a thread the Brothers Barnard decide to pursue Adam’s finance Nicole (Jenny Westbrook). Reasoning that she will know where Adam has hidden the keys to the mansion, so that they can break in and destroy evidence of Adam’s parentage."
comedy,"Jeffrey Haywood (Reginald Denny) wants to get married to Virginia Embrey (Sally Eilers). However, Virginia refused to marry unless her older sister, the hard-to-please Angelica (Dorothy Christy) gets married first. Angelica, in turn, finds every man she knows too dull and predictable, and for this reason prefers to stay single. Jeff then tries to make Angelica interested in the mild-mannered and timid Reggie Irving (played by Keaton) passing him off as a notorious playboy to intrigue her. He asks his friend Polly to teach Reggie ""how to treat a woman right"", but he turns out to be a disastrous learner."
drama,"Joe Martin is a fire fighter in Los Angeles who is assigned by his department chief to the Arson Detail. His first assignment is to investigate a suspicious fur store fire that seems to be set by the store owner himself, Thomas Peyson.
The reason why Joe Martin gets the assignment is because his predecessor in the Arson Detail was killed when inspecting the very same fire site. The predessor's file with his findings wasn't found on his body and hasn't been recovered. This is just one of many equally suspicious fires in the last few years, where the insurance claims following the fires has been filed by the same agent, Frederick P. Fender. There is suspicion that Fender is somehow involved in the disappearance of all the destroyed stores' goods as well.
Joe begins with Peyson, the store owner, and visits his apartment that was also raged by fire not long ago. He meets the baby-sitter, Jane, a pretty young teacher, and they get along so well that Joe drives her home and ask her out on a date the next evening.
It turns out Peyson and Fender is in cahoots together, since the first thing Peyson does after Joe leaves, is phone his accomplice. They also meet up the day after, just when Joe comes to see Fender as the next logical step in his investigation. Joe never sees Peyson, as he sneaks out through a back door. Joe gets very little information of use from Fender, but his visit makes Fender put one of his men, Pete, on tailing Joe to see if he finds out something.
Pete starts following Joe around everywhere he goes, even when he visits Jane. Soon Joe realizes that he is followed and when he knowingly enters an illegal gambling place Pete finalky makes contact, offering Joe a chance of making a little extra money. Joe decides to play along and go ""undercover"".
When visiting an illegal bookie, Joe starts to fight a policeman and the next day a picture showing him hitting a police officer is on the tabloids. He gets fired for this highly unfitting behavior, and Pete makes contact again, wanting to use the ex-fireman in the insurance fraud racket. Joe and Jane both meets Fender at a party held at Pete's, and Fender is smitten with the young teacher. Fender's secretary Betty sees this, and feels her own agenda is threatened.
Joe is hired to do some work for Fender, and the following day he is to drive a car for Pete when he is doing a ""job"", setting fire to another store. Joe's job is to block the way for the fire trucks coming to put the fire out. Pete also jams the water sprinklers inside the store.
Joe shares the plan with an undercover policeman, Murph, and after the fire is set, the cop steps in and single-handedly extinguishes the fire before it grows out of control. All the store goods are already removed from the store by Pete. But Pete returns to the store to see that the fire is destroying the store completely, and he finds Murph at the scene. Pete shoots Murph, but more police arrive to the store, and a car chase ensues, where Jie and Pete ultimately manage to shake the police.
Fender realizes the police was warned and suspects his secretary Betty, who has been behaving strangely. Fender orders her towatch Pete by dating him, and so they go on a double date with Jie and Jane that night, at the Gaucho Club. Joe telks Jane about his undercover assignment on the way to the club.
WhenBetty gets drunk she accidentalky discloses the address where the furs are stored and after the dinner, Joe and Jane go there. Joe is unaware that Betty was ordered by Fender to slip the address to trap Joe.
Joe drives the drunk Pete home and manages to find the file from the fireman investigator in Pete's apartment. He takes Jane with him and return to the warehouse where the furs are, alerting the police on the way. Meanwhile, Pete wakes up again and discovers what has happened.
When Joe and the police arrive at the warehouse there are no furs in it. The police look at the file Joe brought and they find evidence implicating Pete as involved in setting the fire. The police leave to arrest Pete, but Pete arrives to the warehouse with a gun and points it towards Jane. Fender is alerted of the situation by a night watchman and tries to get there as fast as he can,driving in his car with Betty by his side.
Joe manages to take the gun from Pete, but Pete gets the gun from the night watchman and pursues Joe and Jane as they try to escape. Pete sets fire to the warehouse,trying to trap Joe and Jane inside. Fire trucks get the alarm and comes to the warehouse, and Fender crashes his car on the way, driving too fast. With the help of the firemen, Joe catches Pete and overpowers him, and the rest of the villains are caught. After the big intermezzo at the warehouse, Joe and Jane continue dating each other.[2]"
drama,"The B-17F Lucky Lass, part of the United States Army Air Forces (USAAF) 99th Bombardment Group (Heavy) (the ""Diamondbacks"") from the 12th Air Force is stationed at Navrin, Algeria in 1943. We learn in the opening reveal that air crews are expected to complete 25 combat missions before they can be sent home. However, losses are heavy and the odds are that only 2 in 10 will survive 25 missions. During a raid on Gerbini, Italy, with her Irish-American crew, the Lucky Lass is heavily damaged and the (pilot ""Pops"" (Jamie Martz), and both waist gunners, Jake (Anthony Ocasio) and Joe (Steve Holm) are killed.
Five days later, Wally (Donnie Jeffcoat) is now the Lass' aircraft commander), and replacements arrive. Co-pilot Michael Schmidt (Bug Hall) reports to Wally, and two new waist gunners, Tom (Jeremy Ray Valdez) and Oliver (Tony Elias), introduce themselves to the enlisted crewmen. On their walk-around of the North African base, the replacements are introduced to the alcohol still flight engineer Burt (Chris Owen) has put together from bomber parts and other scraps. Burt explains that the Army adds ethanol to boost the octane rating of aviation fuel, so they are cooking the fuel to distill out the alcohol. The crew, anxious to get back into the air, push maintenance chief Sgt. Caparelli (Howard Gibson) to clear their aircraft to fly. After some griping, Caparelli tells the men that the Lass has already been cleared earlier that day. The crew throws a party/wake to celebrate their return to flight status and mourn their losses. Only Wally dares to sample the local cuisine, goat meat and cous-cous, while everyone else sticks to their C-rations. Michael is present and appears standoffish. Further alienating him from the crew, he does not join in Wally's toast to their recently departed crewman because he doesn't drink. Wally takes the you new young pilot outside and gives him some advice to try harder to fit in, including drinking with the men.
During the next mission which is supposed to be a milk run, an already hungover Wally succumbs to ptomaine poisoning. Michael takes over the controls. The squadron is ordered to fly into the clouds in a roundabout course to avoid flak emplacements on the approach to the target in Messina. Michael simply tries to keep an eye on the plane in front of him and doesn't use instrument navigation. Unfortunately, when the Lass comes out of the clouds, the rest of the squadron is nowhere to be seen. Not only are they off course, they have flown over territory heavily defended by antiaircraft guns. They abort and manage to make it home without any injury. A despondent Michael tells Wally that he's going to apply for a transfer to another plane. Wally says that while getting loss is a serious screw up, shit happens. He convinces Michael that the crew will eventually forgive him and suggests he start by admitting his mistake and apologizing to the crew. However, as he approaches the crew's tent, he overhears them making disparaging comment about him. The complain that they won't get credit for what was an easy mission, and he realizes now is not the right time to talk to the men. That night, there is a fierce sandstorm forcing everyone on the base to take cover. Burt finishes collecting a batch of alcohol, but in his haste to get away from the storm, he fails to shut down the still, allowing the flammable liquid to drip and pool on the ground.
To help boost the crews' confidence in Michael, Wally lets him take the pilot's chair. Shortly after takeoff, the pilots notice the oil pressure rising rapidly, and the engines begin losing power. Since they can't stay in formation, the Lass is forced to abort yet another ""milk run"" (an easy mission) to Messina, Sicily. To make matters worse, the still is destroyed in a fiery explosion. The crew blames Michael at first, considering him a jinx. Later, the squadron limps back, indicating that it had not been an easy mission. At the debriefing, we learn that the squadron's fighter protection was diverted, and enemy fighters had unexpectedly shown up over the target. Wally assures Michael that by aborting the mission, he had perhaps saved their lives.
With the Lucky Lass grounded and the squadron decimated, some of the Lass' crew are mixed into other crews for the next mission. Charlie (Manu Intiraymi), Eddie (Joseph Williamson) and Michael are not assigned. Michael feels guilty at missing yet another mission, but his crewmates point out this is a blessing in disguise because as the only officer on the ground, he can ensure that Caparelli fixes the plane properly. After having worked all night to ready the squadron for today's mission, Caparelli is loath to order his men to work in the 105 degree in the shade sun. He tells Michael they've already checked the plane and didn't find any mechanical problems, but Michael won't take it lying down. After reading Caparelli the Riot Act, he persuades Caparelli to inspect the Lass again to discover the ""gremlins"" that brought down the aircraft. Since excessive oil pressure was the problem, Michael insists that Caparelli take apart the oil pumps despite the new pump having been installed just last week, and a visual inspection not revealing anything. Caparelli reluctantly follows Michael's orders and discovers that the oil lines have been fouled with sand from the last sandstorm. Meanwhile, to make good on a promise to Al (Tim Hade) for a celebration on his safe return, and with no alcohol left, Charlie is caught stealing liquor from the officer's club by the chicken-shit quartermaster, Monroe (Matt Biedel), and is facing a summary court-martial. Eddie pleads with Michael to intervene with Col Shay (John Laughlin), the ""Old Man"". Michael arrives just as the colonel asks Charlie if he has an exonerating explanation. Michael explains about the Lass' newly discovered mechanical problems, and claims he ordered Charlie to get alcohol to use as a solvent to clean the oil lines, and accepts blame because he wasn't explicit enough in his order to Charlie to get it legitimately. The colonel pretends to believe Michael's ridiculous lie and lets Charlie off. Monroe protests, but the colonel dresses him down and tells Monroe he doesn't have time to waste on anything that doesn't effect the operational efficiency of the squadron and dismisses Monroe. Before dismissing Charlie, the colonel asks why he only grabbed Scotch whiskey, to which he replied the Lass is an Irish bomber with discriminating taste. The colonel takes a bottle from the case and chuckles to himself after Michael and Charlie leave. That night, whole crew celebrate Charlie's vindication, and declare Michael an honorary Irishman, christening him, ""O'Schmidt"".
July 19 arrives and the Lass is cleared to fly the Rome mission. On the final run to the IP, Burt is blinded by shrapnel from anti-aircraft fire, but they continue and manage to release their bombs over the target. However, as they make the turn home, a B-17 flying above them is hit and begins falling in their direction. They take evasive action, but the doomed bomber's wing clips part of the Lass' right horizontal stabilizer, causing them to go into an uncontrolled climb until they stall and begins a lateral spin. The plan loses altitude rapidly as Michael and Wally struggle desperate to regain control.
At the last second, Michael and Wally manage to pull up, but they are now very low over Rome and taking heavy ground fire. As they reach the edge of the city, a barrage of flak takes out another engine and obliterates Wally. Back in the waist, Tom checks on a wounded Oliver. Oliver says he's OK. As Tom turns back to his guns, another flak round kills him instantly. Michael asks Archie (Sean McGowan) to come to the cockpit to help him fly, since the navigator was once in flight school. Archie makes his way to the cockpit without saying a word about his wounds. He looks at the pulped flesh that used to be Wally before climbing into the seat. The Lucky Lass gets away from Rome, and makes a run for a British airbase at Malta.
Michael asks Al from his position as the ball turret gunner about their situation. He reports that aside from the knocked-out engines and other damage, the B-17 appears to be fine. However, the damaged port landing gear falls away as it's being lowered, leaving Michael no choice but to order everyone to bail out. Michael, not noticing that Archie is wounded, leaves the cockpit with Archie at the controls.
As Michael helps the crew bail out, Archie begins to cough up blood. Archie opens the bomb bay doors and makes his way back to Michael as the last of the crew exits the plane. As he turns around, Michael is horrified to see blood soaked Archie, obviously in excruciating pain. Archie knows he's not going to make. As Michael tries to help him get ready to bail out, he sees Archie's parachute has been destroyed. Michael says that they can land the aircraft on the water or both jump together using his parachute. Archie nods, but he then tells Michael to ""take care of the boys"" and pushes Michael out. Archie makes his way back into the pilot's chair to take control of the B-17 and starts climbing, but in its damaged state, it cannot take the stress and disintegrates, taking the navigator with it.
Some time later, back at Narvin, a new replacement checks in with Michael, now the flight commander of a new bomber, starting the cycle again."
